"FWB_id","site_year_code","sp_site","collection_site_id","fish_species","fish_family","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","VarTot","Food web_ID","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","Dist_class","distance_to_env_m","match_flag","num"
"FWB_0020","FWB_0020_2008","Leiopotherapon unicolor_Bushy Creek","Bushy Creek","Leiopotherapon unicolor","Terapontidae","lotic",145.3166667,-16.5666667,0.193094531903567,0.0435012542583281,0.616576022700402,0.0473476998495197,69.3333333333333,83.8666666666667,6,0.0908489541078478,"FWB_0020",13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist","Q4 (far)",0,"ok",1
"FWB_0020","FWB_0020_2008","NA_Bushy Creek","Bushy Creek","NA","Eleotridae","lotic",145.3166667,-16.5666667,0.68932998707126,0.06454012832821,0.253461548566774,0.00422968106643543,105.333333333333,1164.33333333333,3,0.0687698093946454,"FWB_0020",13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist","Q4 (far)",0,"ok",1
"FWB_0020","FWB_0020_2008","NA_Bushy Creek","Bushy Creek","NA","Melanotaeniidae","lotic",145.3166667,-16.5666667,0.678530686744239,0.00243202104828202,0.162318383647303,0.0019885507474636,68.5,283.9,6,0.00442057179574562,"FWB_0020",13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist","Q4 (far)",0,"ok",1
"FWB_0032","FWB_0032_1995","Melanotaenia eachamensis_Dirran Creek, forest edge","Dirran Creek, forest edge","Melanotaenia eachamensis","Melanotaeniidae","lotic",145.5333333,-17.4666667,0.589260808926081,0.0593735940085237,0.858839050131926,0.0167995210281187,43.3333333333333,16.6666666666667,6,0.0761731150366424,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0032","FWB_0032_1995","Mogurnda adspersa_Dirran Creek, forest edge","Dirran Creek, forest edge","Mogurnda adspersa","Eleotridae","lotic",145.5333333,-17.4666667,0.705819703309243,0.0447274822288947,0.353562005277045,0.165401939557647,40,0,5,0.210129421786542,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0032","FWB_0032_1995","NA_Dirran Creek, forest edge","Dirran Creek, forest edge","NA","Melanotaeniidae","lotic",145.5333333,-17.4666667,0.166413084823127,0.0166687380512578,0.762532981530343,0.00660442816930172,22938.05,699180331.076667,4,0.0232731662205595,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0033","FWB_0033_1995","Melanotaenia eachamensis_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","Melanotaenia eachamensis","Melanotaeniidae","lotic",145.5333333,-17.4666667,0.778863499699339,0.0263351385762361,0.748318385650225,0.0218796591813343,41.25,26.7857142857143,8,0.0482147977575704,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0033","FWB_0033_1995","Mogurnda adspersa_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","Mogurnda adspersa","Eleotridae","lotic",145.5333333,-17.4666667,0.612748045700542,0.228720021087884,0.35949177877429,0.181233954701147,38.3333333333333,8.33333333333333,3,0.409953975789032,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0033","FWB_0033_1995","NA_Dirran Creek, pasture crossing","Dirran Creek, pasture crossing","NA","Melanotaeniidae","lotic",145.5333333,-17.4666667,0.193425536179595,0.0354026000918196,0.715994020926756,0.10682566175337,15272.4666666667,696431465.813333,3,0.142228261845189,"FWB_0032",14,"lotic",-17.4666667,145.5333333,-0.365283318475333,5.70435409986944,5.61927097545758,1672.16056,108.150966716509,196,65,1580,-4.13516655674236,0,0,-0.365268909357242,0,1.24502165311282,"small",-1.26753941628274,0.630307342276645,"high_prod","Hot and dry","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Amniataba percoides_Hooley_Ck","Hooley_Ck","Amniataba percoides","Terapontidae","lotic",117.999111,-21.884789,0.695377128953771,0.0876770561386684,0.562469850458273,0.033851538944307,64.5,560.333333333333,6,0.121528595082975,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Glossogobius giuris_Hooley_Ck","Hooley_Ck","Glossogobius giuris","Gobiidae","lotic",117.999111,-21.884789,0.109489051094891,0.0159838030795461,0.490593342981187,0.00174527014338441,136,108,4,0.0177290732229305,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Leiopotherapon aheneus_Hooley_Ck","Hooley_Ck","Leiopotherapon aheneus","Terapontidae","lotic",117.999111,-21.884789,0.159124087591241,5.11481698545452e-06,0.351664254703329,0.00306776604723538,56,0.8,6,0.00307288086422084,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Leiopotherapon unicolor_Hooley_Ck","Hooley_Ck","Leiopotherapon unicolor","Terapontidae","lotic",117.999111,-21.884789,0.287226277372263,0.0466494143077872,0.471599131693198,0.111948470948881,73.125,862.696428571429,8,0.158597885256669,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Melanotaenia australis_Hooley_Ck","Hooley_Ck","Melanotaenia australis","Melanotaeniidae","lotic",117.999111,-21.884789,0.231143552311436,0.000827463725646901,0.462132175590931,0.0183702946644299,49,5.33333333333333,6,0.0191977583900768,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0046","FWB_0046_2002","Nematalosa erebi_Hooley_Ck","Hooley_Ck","Nematalosa erebi","Dorosomatidae","lotic",117.999111,-21.884789,0.267153284671533,0.0253088721946946,0.308248914616498,0.0390689193217462,144.2,2671.73333333333,10,0.0643777915164407,"FWB_0046",16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry","Q4 (far)",0,"ok",1
"FWB_0064","FWB_0064_2008","Amniataba percoides_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","Amniataba percoides","Terapontidae","lotic",144.89,-16.566,0.604455311056778,0.00683975163842376,0.572512454865396,0.0326939774032474,62.3333333333333,4.33333333333333,3,0.0395337290416712,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
"FWB_0064","FWB_0064_2008","Glossamia aprion_Mitchell River @ Cooktown Crossing","Mitchell River @ Cooktown Crossing","Glossamia aprion","Apogonidae","lotic",144.89,-16.566,0.80421986778955,0.0481698041266804,0.787238904885964,0.0043971384015423,80,844,3,0.0525669425282227,"FWB_0064",18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist","Q1 (close)",0,"ok",1
