"","FWB_id","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"1","FWB_0019","Bullock Crossing","lotic",-18.440485,125.385156,0.0493737338012501,0.045355522274653,0.0637972361688389,0.0409458050758933,2,12,6,17,"lotic",-18.440485,125.385156,3.17329251324624,4.99410563159376,4.49145575198563,81.55365369,35.7873338271701,275,5,476,-6.90775527898214,0,0,5.86233775426197,0,-5.29631936388536,"large",1.1490940608023,-0.310202188538389,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.478791074198992,0.390916709972393,0.432648184784397
"2","FWB_0068","Mungungudha","lotic",-18.504371,125.195568,0.0333622894013635,0.0615405286814061,0.073953451586008,0.034983990388722,3,7.66666666666667,5,17,"lotic",-18.504371,125.195568,4.36196422363683,4.73080301981415,4.51090233625898,109.8949317,23.3723277787241,275,46,470,-6.21460809842219,0,0,7.72641466362599,0,-4.70942020736189,"large",1.96088501433862,-0.65886695436101,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.648458390642662,0.321138350181172,0.473530199789287
"3","FWB_0108","Belgian Pond 2","lentic",50.984264,5.336256,0.0368486202413311,0.01605557609751,0.0342899044729718,0.0115121888568906,9,10.2222222222222,6,10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist",0,"ok",0.303483980640725,0.251346347294237,0.279290864309951
"4","FWB_0109","Belgian Pond 3","lentic",51.035481,4.177956,0.00719201568705268,0.0209438144126605,0.0386219774869085,0.0310469671553117,6,8.33333333333333,6,10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist",0,"ok",0.744382317437792,0.445635674757973,0.531577131128357
"5","FWB_0150","Blackbrook 24-culverts","lotic",47.8123,-67.74977,3.98542431655966e-05,0.0611613073111486,0.0693654054176975,0.0390154903227239,2,11.5,10,7,"lotic",47.8123,-67.74977,2.21112748250521,6.52511685810556,1.60632598199739,572.9540348,50.3817319893594,20,0,1030,-6.90775527898214,0,0,5.91300831573183,0,-11.5129254649702,"large",0.491993482958224,1.71715966387782,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.999348799235939,0.359984940668587,0.590727575970871
"6","FWB_0151","BLR","lotic",45.33,-65.78,0.0106576511378608,0.0805575360885223,0.150039560211647,0.0510015988097459,2,5,5,7,"lotic",45.33,-65.78,1.98718918197475,4.93049691739687,-1.38659437812049,13.29489939,44.9340914618772,56,148,1325,0.120446153075867,1,0,2.27408376143324,0,3.74395955698325,"large",0.339057155011805,-0.394432714357479,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.883159247248925,0.253687349685041,0.450149796872955
"7","FWB_0156","CherryBrook 20-culverts","lotic",47.62245,-67.931555,0.00785619356507721,0.0835828340805112,0.0273234839814146,0.0285003234249504,2,15,10,7,"lotic",47.62245,-67.931555,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7834382543419,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.914082708802118,0.510540659068353,0.761109600164355
"8","FWB_0157","CherryBrook 21-culverts","lotic",47.62246,-67.931485,0.0131241527458876,0.0740489232965595,0.0131580928635014,0.0583276342566208,2,13,10,7,"lotic",47.62246,-67.931485,1.38529386078631,5.988121950695,3.41521420933581,1039.4769,71.7909172320597,19,5,1056,-6.21460809842219,1,0,3.02135177352468,0,-2.30248509799371,"large",-0.0720009802542047,1.00607213468552,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.84944717633347,0.81593398579564,0.834347385171821
"9","FWB_0158","CherryBrook 22-culverts","lotic",47.646641,-67.954117,0.0308712386266319,0.0729298715542713,0.0359996328311964,0.0352078001720783,2,10.5,10,7,"lotic",47.646641,-67.954117,1.57422515667836,5.40694385132873,3.41521420933581,1039.4769,71.9341344246427,20,0,1048,-6.90775527898214,0,0,2.79923126175466,0,-11.5129254649702,"large",0.0570276787980591,0.236477315449977,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.702592404138743,0.494439957840626,0.617899387988998
"10","FWB_0172","Five Fingers River 12-sediment_traps","lotic",47.573836,-67.376062,0.00180580176900278,0.0635310784048969,0.0496345598327096,0.0391962896212002,2,9.5,9,7,"lotic",47.573836,-67.376062,2.37602141106723,5.24988506069325,1.60632598199739,572.9540348,62.298841168052,23,69,1004,-2.07944154167984,7,0,3.75258192273198,0,1.83130224589793,"large",0.604606072565261,0.0285003945710471,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.972361677444707,0.441246367249222,0.666335090191058
