"","FWB_id","sp_site","collection_site_id","fish_species","fish_family","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","VarTot","Food web_ID","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","Dist_class","distance_to_env_m","match_flag","num"
"11","FWB_0108","Pseudorasbora parva_Belgian Pond 2","Belgian Pond 2","Pseudorasbora parva","Gobionidae","lentic",5.336256,50.984264,0.663022113022113,0.00296126139404483,0.422196409714889,0.00235189878781325,72.1,51.2111111111111,10,0.00531316018185808,"FWB_0108",10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"12","FWB_0108","Rhodeus amarus_Belgian Pond 2","Belgian Pond 2","Rhodeus amarus","Acheilognathidae","lentic",5.336256,50.984264,0.54977184977185,0.00220665204870189,0.437148891235481,0.00685331560132773,51.8,189.511111111111,10,0.00905996765002962,"FWB_0108",10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"13","FWB_0108","Rutilus rutilus_Belgian Pond 2","Belgian Pond 2","Rutilus rutilus","Leuciscidae","lentic",5.336256,50.984264,0.649979524979525,0.0184201569197102,0.656300598380852,0.0446377987921282,97.6666666666667,1956.78787878788,12,0.0630579557118384,"FWB_0108",10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"14","FWB_0108","Scardinius erythrophthalmus_Belgian Pond 2","Belgian Pond 2","Scardinius erythrophthalmus","Leuciscidae","lentic",5.336256,50.984264,0.572744822744823,0.0107237006587656,0.693249358877659,0.0191244297439987,92.7857142857143,1692.64285714286,14,0.0298481304027643,"FWB_0108",10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"15","FWB_0109","Carassius gibelio_Belgian Pond 3","Belgian Pond 3","Carassius gibelio","Cyprinidae","lentic",4.177956,51.035481,0.363979416809605,0.0073908717257693,0.591551187023311,0.116734861875341,222.666666666667,3466.33333333333,6,0.12412573360111,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"16","FWB_0109","Gasterosteus aculeatus_Belgian Pond 3","Belgian Pond 3","Gasterosteus aculeatus","Gasterosteidae","lentic",4.177956,51.035481,0.299466361730513,0.0220645596389148,0.282379059691339,0.0125472050993497,42.8888888888889,20.3611111111111,9,0.0346117647382645,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"17","FWB_0109","Pseudorasbora parva_Belgian Pond 3","Belgian Pond 3","Pseudorasbora parva","Gobionidae","lentic",4.177956,51.035481,0.4021269296741,0.0121312820754227,0.453238801160168,0.0043704235990889,73.6,46.9333333333333,10,0.0165017056745116,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"18","FWB_0109","Pungitius pungitius_Belgian Pond 3","Belgian Pond 3","Pungitius pungitius","Gasterosteidae","lentic",4.177956,51.035481,0.535184391080618,0.01098554811802,0.614445697711892,0.0418255841969043,43.75,18.5,8,0.0528111323149243,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"19","FWB_0109","Rhodeus amarus_Belgian Pond 3","Belgian Pond 3","Rhodeus amarus","Acheilognathidae","lentic",4.177956,51.035481,0.471029159519726,0.0635320449388542,0.623735095069288,0.00687862972845936,63.8,49.7333333333333,10,0.0704106746673136,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
"20","FWB_0109","Scardinius erythrophthalmus_Belgian Pond 3","Belgian Pond 3","Scardinius erythrophthalmus","Leuciscidae","lentic",4.177956,51.035481,0.466454300416565,0.00955857997898194,0.872450623820266,0.00392509843272668,166.5,24.5,7,0.0134836784117086,"FWB_0109",10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist","Q4 (far)",0,"ok",1
