"","FWB_id","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"1","FWB_0003","Baitpool","lentic",-17.783672,123.684752,0.0104775494571774,0.0534221777975227,0.0533858367698156,0.0150881246065201,5,4.6,3,17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.836031390002424,0.220348352910315,0.51755226520129
"2","FWB_0017","Bulimba Lynd Crossing","lotic",-16.7125,143.4108,0.0422008996623928,0.108708827820329,0.116163057336138,0.13503405186282,2,3,3,17,"lotic",-16.7125,143.4108,3.40056384768855,5.39930259405343,1.63984249243876,11.5280946,36.4806009186243,265,2,946,-6.90775527898214,0,0,7.58084617517767,0,-4.96041757793564,"large",1.30430664951426,0.226358778605712,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.720356663772887,0.537562125190968,0.606164475328489
"3","FWB_0019","Bullock Crossing","lotic",-18.440485,125.385156,0.0493737338012501,0.045355522274653,0.0637972361688389,0.0409458050758933,2,12,6,17,"lotic",-18.440485,125.385156,3.17329251324624,4.99410563159376,4.49145575198563,81.55365369,35.7873338271701,275,5,476,-6.90775527898214,0,0,5.86233775426197,0,-5.29631936388536,"large",1.1490940608023,-0.310202188538389,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.478791074198992,0.390916709972393,0.432648184784397
"4","FWB_0020","Bushy Creek","lotic",-16.5666667,145.3166667,0.0823496149769845,0.0349310115842279,0.0508160677648343,0.0161949920914808,4,4.5,3,13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist",0,"ok",0.297841277015998,0.241676405748634,0.277418936630048
"5","FWB_0064","Mitchell River @ Cooktown Crossing","lotic",-16.566,144.89,0.0219273629227086,0.0455305722530621,0.0619355478785445,0.0201798356237343,6,4,3,18,"lotic",-16.566,144.89,1.99890913078792,6.59162538000169,4.24836319090242,265.4608058,27.640859297306,242,3,1445,-6.90775527898214,2,0,6.42778051882691,0,-4.96041757793564,"large",0.347061171881451,1.80523010896529,"low_prod","Extremely hot and moist","Hot and moist",0,"ok",0.674947611936625,0.24574975799966,0.439319047391302
"6","FWB_0068","Mungungudha","lotic",-18.504371,125.195568,0.0333622894013635,0.0615405286814061,0.073953451586008,0.034983990388722,3,7.66666666666667,5,17,"lotic",-18.504371,125.195568,4.36196422363683,4.73080301981415,4.51090233625898,109.8949317,23.3723277787241,275,46,470,-6.21460809842219,0,0,7.72641466362599,0,-4.70942020736189,"large",1.96088501433862,-0.65886695436101,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.648458390642662,0.321138350181172,0.473530199789287
"7","FWB_0107","Belgian Pond 1","lentic",51.038233,4.181906,0.0228638394789622,0.0259616771149017,0.0419860350105967,0.0358203949977982,4,10.25,4,10,"lentic",51.038233,4.181906,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.4777464204151,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist",0,"ok",0.531723552069174,0.460378338833094,0.487886933514121
"8","FWB_0108","Belgian Pond 2","lentic",50.984264,5.336256,0.0368486202413311,0.01605557609751,0.0342899044729718,0.0115121888568906,9,10.2222222222222,6,10,"lentic",50.984264,5.336256,-1.89711998488588,1.53579352511601,6.1125779416245,8488.206111,111.852715992236,98,344,806,1.77155676191054,12,40,1.92905605627003,0,6.48022860940605,"small",-0.856047606818498,1.2913324631945,"high_prod","Cool temperate and moist","Cool and moist",0,"ok",0.303483980640725,0.251346347294237,0.279290864309951
"9","FWB_0109","Belgian Pond 3","lentic",51.035481,4.177956,0.00719201568705268,0.0209438144126605,0.0386219774869085,0.0310469671553117,6,8.33333333333333,6,10,"lentic",51.035481,4.177956,-0.415515443961666,-4.05294673352617,5.1208528932036,1478.620061,70.3326972820644,103,365,775,3.4251742910436,15,87,-2.10365227039489,0,7.08774913711967,"large",-0.255054668996844,-0.785083942999526,"high_prod","Cool temperate and moist","Cool and moist",0,"ok",0.744382317437792,0.445635674757973,0.531577131128357
"10","FWB_0150","Blackbrook 24-culverts","lotic",47.8123,-67.74977,3.98542431655966e-05,0.0611613073111486,0.0693654054176975,0.0390154903227239,2,11.5,10,7,"lotic",47.8123,-67.74977,2.21112748250521,6.52511685810556,1.60632598199739,572.9540348,50.3817319893594,20,0,1030,-6.90775527898214,0,0,5.91300831573183,0,-11.5129254649702,"large",0.491993482958224,1.71715966387782,"low_prod","Cold and mesic","Cold and wet/mesic",0,"ok",0.999348799235939,0.359984940668587,0.590727575970871
