"","fish_species","sp_site_var_C_mean","sp_site_var_N_mean","sp_site_var_C_sd","sp_site_var_N_sd"
"68","Astyanax lacustris",0.0144482630920074,0.02451368724297,0.0126483549811063,0.0218080945572905
"69","Astyanax validus",0.00125546345871989,0.00442440310235155,0.000634690583190393,0.00138869037881745
"70","Atherina boyeri",0.0147729159555621,0.0192788031717596,0.0122838538381582,0.0163195269365714
"71","Atherinella alvarezi",0.0134739182337203,0.00509806764867812,0.021448388994824,0.00464165081109939
"72","Atractosteus tropicus",0.0370417822919545,0.00234628233226441,0.051036116252275,0.000607040337148786
"73","Auchenipterus nigripinnis",0.0486086524637784,0.0154477658561147,0.0934659791139754,0.013825880575597
"74","Auchenipterus osteomystax",0.0919777064256149,0.00209054747885833,0.0632115679618545,0.000395630345789117
"75","Auchenoglanis occidentalis",0.0363019042799551,0.00806233298678527,NA,NA
"76","Australoheros facetus",0.0409906507081575,0.0307975487055195,0.0356651504525085,0.0329544954022015
"77","Austroglanis gilli",0.108008866100519,0.00583563412097961,NA,NA
"78","Bagre marinus",0.0746600538619496,0.0461678764277185,0.0361509084669049,0.0415526609258199
"79","Barbatula barbatula",0.0293557263183958,0.0184574712298624,0.0346291919939031,0.0253122590781603
"80","Barbatula toni",0.0112527010604596,0.00531185076177285,NA,NA
"81","Barbodes binotatus",0.0374687353676171,0.0177625982072696,0.00107375589494597,0.0156368987918601
"82","Barbus barbus",0.0221520776493673,0.0226400036906175,0.0188118096824537,0.0173565424367959
"83","Barbus haasi",0.110078059840036,0.107363686060545,0.0763459452772552,0.0860142275337219
"84","Basilichthys microlepidotus",0.0588698959968883,0.00774236818625861,0.0703916718916976,0.00970993296029477
"85","Batasio fluviatilis",0.0163004073746392,0.117968308931462,NA,NA
"86","Batrochoglanis raninus",0.0115044602816589,0.0116132625762028,NA,NA
"87","Belonesox belizanus",0.0296184173655194,0.036325018943522,0.00542388321011992,0.0512900945288807
"88","Bleekeriella leptaspis",0.00840855772293332,0.00953719498903264,0.00777122125617818,0.00690082814813
"89","Blicca bjoerkna",0.0102319825599115,0.00850447815373269,0.00973066789196804,0.00955549350301874
"90","Brachyalestes imberi",0.0203059522693368,0.0178194255194127,0.0220248649088386,0.0218446430222627
"91","Brachyalestes lateralis",0.0173981825575495,0.00798721215885308,0.00910311318613112,0.00438320854786128
"92","Brachyalestes nurse",0.00239084553488986,0.00310705358957061,NA,NA
"93","Brachyalestes prognathosi",0.000125890162534408,0.00732333749826461,NA,NA
"94","Brachyalestes sadleri",0.00620359086186717,0.00150786466017954,NA,NA
"95","Brachymystax lenok",0.0393505150236238,0.0429400652667036,0.0299596832651196,0.0286261430427264
"96","Brachypetersius altus",0.000567834416319031,0.0235095217452251,0.000607840434839125,0.00402168091535958
