"","FWB_id","Climate_zone_2cat"
"88","FWB_0218","Cold/Cool"
"89","FWB_0219","Cold/Cool"
"90","FWB_0221","Cold/Cool"
"91","FWB_0223","Cold/Cool"
"92","FWB_0225","Cold/Cool"
"93","FWB_0227","Cold/Cool"
"94","FWB_0229","Cold/Cool"
"95","FWB_0233","Cold/Cool"
"96","FWB_0235","Cold/Cool"
"97","FWB_0241","Cold/Cool"
"98","FWB_0242","Cold/Cool"
"99","FWB_0243","Cold/Cool"
"100","FWB_0244","Cold/Cool"
"101","FWB_0252","Warm/Hot"
"102","FWB_0254","Warm/Hot"
"103","FWB_0255","Cold/Cool"
"104","FWB_0257","Cold/Cool"
"105","FWB_0263","Cold/Cool"
"106","FWB_0267","Warm/Hot"
"107","FWB_0268","Cold/Cool"
"108","FWB_0269","Cold/Cool"
"109","FWB_0270","Cold/Cool"
"110","FWB_0272","Cold/Cool"
"111","FWB_0273","Cold/Cool"
"112","FWB_0275","Cold/Cool"
"113","FWB_0276","Cold/Cool"
"114","FWB_0277","Cold/Cool"
"115","FWB_0278","Cold/Cool"
"116","FWB_0279","Cold/Cool"
"117","FWB_0282","Cold/Cool"
"118","FWB_0283","Cold/Cool"
"119","FWB_0286","Warm/Hot"
"120","FWB_0288","Warm/Hot"
"121","FWB_0289","Warm/Hot"
"122","FWB_0290","Warm/Hot"
"123","FWB_0291","Warm/Hot"
"124","FWB_0295","Cold/Cool"
"125","FWB_0300","Cold/Cool"
"126","FWB_0301","Cold/Cool"
"127","FWB_0302","Cold/Cool"
"128","FWB_0304","Cold/Cool"
"129","FWB_0308","Cold/Cool"
"130","FWB_0309","Cold/Cool"
"131","FWB_0311","Cold/Cool"
"132","FWB_0312","Cold/Cool"
"133","FWB_0319","Cold/Cool"
"134","FWB_0320","Cold/Cool"
"135","FWB_0321","Cold/Cool"
"136","FWB_0322","Warm/Hot"
"137","FWB_0329","Warm/Hot"
"138","FWB_0330","Warm/Hot"
"139","FWB_0331","Warm/Hot"
"140","FWB_0332","Cold/Cool"
"141","FWB_0333","Warm/Hot"
"142","FWB_0334","Cold/Cool"
"143","FWB_0335","Cold/Cool"
"144","FWB_0336","Cold/Cool"
"145","FWB_0337","Cold/Cool"
"146","FWB_0338","Cold/Cool"
"147","FWB_0339","Cold/Cool"
"148","FWB_0340","Cold/Cool"
"149","FWB_0341","Cold/Cool"
"150","FWB_0342","Cold/Cool"
"151","FWB_0343","Cold/Cool"
"152","FWB_0346","Cold/Cool"
"153","FWB_0348","Cold/Cool"
"154","FWB_0349","Cold/Cool"
"155","FWB_0353","Cold/Cool"
"156","FWB_0354","Cold/Cool"
"157","FWB_0355","Cold/Cool"
"158","FWB_0356","Cold/Cool"
"159","FWB_0357","Cold/Cool"
"160","FWB_0359","Cold/Cool"
"161","FWB_0360","Cold/Cool"
"162","FWB_0361","Cold/Cool"
"163","FWB_0363","Warm/Hot"
"164","FWB_0366","Cold/Cool"
"165","FWB_0367","Cold/Cool"
"166","FWB_0369","Warm/Hot"
"167","FWB_0370","Cold/Cool"
"168","FWB_0371","Cold/Cool"
"169","FWB_0372","Cold/Cool"
"170","FWB_0373","Cold/Cool"
"171","FWB_0374","Cold/Cool"
"172","FWB_0377","Cold/Cool"
"173","FWB_0378","Cold/Cool"
"174","FWB_0379","Cold/Cool"
"175","FWB_0381","Cold/Cool"
"176","FWB_0382","Cold/Cool"
"177","FWB_0383","Cold/Cool"
"178","FWB_0384","Cold/Cool"
"179","FWB_0385","Cold/Cool"
"180","FWB_0386","Cold/Cool"
"181","FWB_0387","Cold/Cool"
"182","FWB_0388","Cold/Cool"
"183","FWB_0389","Cold/Cool"
"184","FWB_0392","Cold/Cool"
"185","FWB_0395","Cold/Cool"
"186","FWB_0396","Cold/Cool"
"187","FWB_0398","Cold/Cool"
"188","FWB_0403","Warm/Hot"
"189","FWB_0405","Warm/Hot"
"190","FWB_0406","Warm/Hot"
"191","FWB_0407","Warm/Hot"
"192","FWB_0408","Warm/Hot"
"193","FWB_0409","Warm/Hot"
"194","FWB_0410","Warm/Hot"
"195","FWB_0411","Warm/Hot"
"196","FWB_0412","Cold/Cool"
"197","FWB_0413","Cold/Cool"
"198","FWB_0414","Cold/Cool"
"199","FWB_0415","Cold/Cool"
"200","FWB_0417","Warm/Hot"
"201","FWB_0421","Warm/Hot"
"202","FWB_0422","Warm/Hot"
"203","FWB_0424","Warm/Hot"
"204","FWB_0425","Warm/Hot"
"205","FWB_0426","Cold/Cool"
"206","FWB_0427","Cold/Cool"
"207","FWB_0428","Cold/Cool"
"208","FWB_0429","Warm/Hot"
"209","FWB_0431","Warm/Hot"
"210","FWB_0433","Warm/Hot"
"211","FWB_0436","Cold/Cool"
"212","FWB_0437","Warm/Hot"
"213","FWB_0440","Warm/Hot"
"214","FWB_0442","Warm/Hot"
"215","FWB_0448","Cold/Cool"
"216","FWB_0449","Cold/Cool"
"217","FWB_0450","Cold/Cool"
"218","FWB_0452","Warm/Hot"
"219","FWB_0474","Cold/Cool"
"220","FWB_0475","Warm/Hot"
"221","FWB_0477","Cold/Cool"
"222","FWB_0478","Warm/Hot"
"223","FWB_0479","Cold/Cool"
"224","FWB_0480","Cold/Cool"
"225","FWB_0481","Cold/Cool"
"226","FWB_0482","Warm/Hot"
"227","FWB_0483","Cold/Cool"
"228","FWB_0484","Warm/Hot"
"229","FWB_0485","Cold/Cool"
"230","FWB_0487","Warm/Hot"
"231","FWB_0493","Cold/Cool"
"232","FWB_0495","Cold/Cool"
"233","FWB_0496","Cold/Cool"
"234","FWB_0497","Cold/Cool"
"235","FWB_0501","Cold/Cool"
