"FWB_id","site_year_code","sp_site","collection_site_id","fish_family","fish_scientific_name","fish_name_level","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","sp_site_body_size_range","VarTot"
"FWB_0006","FWB_0006_2021","Hephaestus jenkinsi_Big Sand","Big Sand","Terapontidae","Hephaestus jenkinsi","species","lotic",125.857705,-18.202529,0.418997865408381,0.108684095624464,0.29746476878408,0.00445187935098613,104,1411.2,6,84,0.11313597497545
"FWB_0006","FWB_0006_2021","Leiopotherapon unicolor_Big Sand","Big Sand","Terapontidae","Leiopotherapon unicolor","species","lotic",125.857705,-18.202529,0.489158521514437,0.0358974370625281,0.440903618723886,0.033450764325634,67.6666666666667,176.333333333333,3,23,0.0693482013881621
"FWB_0006","FWB_0006_2021","Megalops cyprinoides_Big Sand","Big Sand","Megalopidae","Megalops cyprinoides","species","lotic",125.857705,-18.202529,0.797438490057297,0.0633719595473816,0.82302953048651,0.00984549271842395,149,93,3,18,0.0732174522658056
"FWB_0006","FWB_0006_2021","Nematalosa erebi_Big Sand","Big Sand","Dorosomatidae","Nematalosa erebi","species","lotic",125.857705,-18.202529,0.155712841253792,0.0187101368621855,0.198852772466539,0.0297089946767555,99.3333333333333,36.3333333333333,3,12,0.0484191315389411
"FWB_0006","FWB_0006_2021","Neoarius graeffei_Big Sand","Big Sand","Ariidae","Neoarius graeffei","species","lotic",125.857705,-18.202529,0.762105381417818,0.0520858265396007,0.64365129948304,0.0864237866337989,209.333333333333,5077.06666666667,6,153,0.1385096131734
"FWB_0006","FWB_0006_2021","Neosilurus hyrtlii_Big Sand","Big Sand","Plotosidae","Neosilurus hyrtlii","species","lotic",125.857705,-18.202529,0.32063813054713,0.0276760047902882,0.440655760923447,0.00957467634543518,161.333333333333,170.333333333333,3,26,0.0372506811357233
"FWB_0007","FWB_0007_2002","Amniataba percoides_Bilanoo","Bilanoo","Terapontidae","Amniataba percoides","species","lotic",116.144841,-21.295131,0.49825479930192,0.000255840940032716,0.498,0.00896699999999996,71,NA,3,NA,0.00922284094003268
"FWB_0007","FWB_0007_2002","Glossogobius giuris_Bilanoo","Bilanoo","Gobiidae","Glossogobius giuris","species","lotic",116.144841,-21.295131,0.125,0.00921655564997306,0.266,0.0772533333333333,47,1069,4,NA,0.0864698889833064
"FWB_0007","FWB_0007_2002","Hypseleotris compressa_Bilanoo","Bilanoo","Eleotridae","Hypseleotris compressa","species","lotic",116.144841,-21.295131,0.272251308900524,NA,0.57,NA,52,NA,1,0,NA
"FWB_0007","FWB_0007_2002","Leiopotherapon aheneus_Bilanoo","Bilanoo","Terapontidae","Leiopotherapon aheneus","species","lotic",116.144841,-21.295131,0.958115183246073,0.00214495216688138,0.470666666666667,0.00484433333333333,56,2,3,NA,0.00698928550021471
