HYBAS_ID,Longitude,Latitude,Area_SqKm,DRP,TP,TN,NO3
3060397510,77.19149197,60.3153855,770382.6,32.30960398,209.8459613,1159.096093,1070.399022
3060397200,77.4788457,61.28261812,82130,19.76055099,137.6808133,391.6341713,497.278539
3060481930,67.84034272,57.82401938,385683.5,20.806688,268.5579954,678.6539495,1082.972514
3060481940,68.59987315,58.04440458,600578.8,3.435584857,17.15987112,340.0571765,386.8936173
3060410450,77.99534631,60.40945679,758025.9,0.294882775,0.493760618,8.381631437,4.472951817
3060410600,77.89807933,59.89340699,4057.7,8.782310498,21.19973112,91.3620013,245.5651606
3060410610,79.15558146,60.18668598,754405.9,19.58843949,42.61064584,450.1545567,767.1817788
3060410330,79.05536283,60.70761009,3616.8,13.67028476,70.51338028,206.0007038,218.4038739
3060457620,72.75554389,58.81528444,13743.6,12.93703137,54.75450163,225.5893269,660.722508
3060457610,72.02890655,58.4022048,6328.3,17.45285531,57.66373506,350.0313543,429.4366965
3060487440,69.25047806,58.0874307,574929.5,8.840701444,15.79134785,318.2652275,315.8120783
3060487640,68.69064848,56.91173724,24243.2,52.67692615,201.778964,1502.330938,1024.048631
3060386680,79.39767348,62.09242369,14439.1,35.52225813,214.5177607,1070.961329,413.3719942
3060386820,78.96767523,60.98877874,59202.7,22.54529283,130.0169812,701.5162934,558.0551406
3060493080,66.52822802,57.52576868,294816.6,26.09502789,272.3887101,969.8477498,1066.756453
3060492920,65.20299137,58.30950905,87134.5,30.47552293,153.3606978,933.7086741,704.3857836
3060486850,69.76350785,58.15362137,776.1,11.87941557,22.61728858,125.687741,217.206366
3060486960,69.7637502,57.94169883,572966.2,5.663394636,32.42387222,160.5302226,270.6614532
3060464040,74.30582911,58.43889087,6638.8,36.22720978,122.8497579,494.270065,607.5648444
3060464030,73.19488256,58.2524737,3929.1,20.47111297,77.72804133,304.3053287,268.45971
3060486480,70.40899482,57.86793444,571718.7,9.747811243,15.79134785,284.8143923,256.3003164
3060486600,70.14993223,57.76270003,770.9,9.062122054,23.49016226,111.6961594,227.6820485
3060428240,79.44300375,59.52069327,737920.8,4.342113543,9.551151526,129.5312578,238.8100333
3060428120,80.31805911,60.15210077,6864.8,19.40070593,25.96408685,194.1539867,617.8141901
3060390440,80.92723095,62.07970983,17631,39.27601654,239.0006573,1117.836321,452.6750447
3060390450,80.49344714,60.9832575,38603.4,30.85528618,74.40058756,668.5934873,527.7972553
3060511880,66.59803968,57.1992648,79135.2,14.38303654,94.15622443,690.9189963,328.7052387
3060511890,67.07031395,56.89892659,210215.5,30.08637672,346.5114646,1468.481484,684.8067303
3060383530,80.71927878,61.18908991,26863.2,6.884834357,31.1649745,116.6937347,139.8024996
3060383390,82.6646408,62.06702794,9613.6,26.74193529,225.523499,1308.274884,217.0722994
3060382160,81.93536075,60.96414799,6970.7,41.62966969,168.9676668,1087.890935,340.2028343
3060382030,83.78492453,61.47834138,19675.1,52.97921905,239.0006573,1487.124182,539.5275466
3060490890,70.88823934,57.74511817,568428.4,5.711305058,14.39459739,211.8674701,141.1453414
3060490750,71.27217824,57.93975233,2001.3,16.68660918,37.29757308,213.7981144,220.3302225
3060443220,80.6913961,59.36175254,704394.1,6.83523215,28.08178068,155.1319246,479.7521593
3060443080,83.25431282,60.23927968,31421.6,31.49302483,81.88752611,761.5693895,520.1007792
3060514480,65.18755695,57.42115917,59383.7,43.14948384,159.5830811,774.1269182,1678.498004
3060514570,63.33631899,56.92114431,18959,68.83804706,152.2590437,739.6688259,2538.825641
3060496590,71.21451165,57.61530392,139340.1,4.391248636,9.302841983,143.8765937,253.0281665
3060496490,73.52260314,57.57707125,428450.8,55.96116115,390.6738648,1269.779374,1107.544013
3060530830,65.02600395,56.41526501,58259.5,42.05042897,214.3829865,945.4547852,231.6760619
3060530840,66.08046892,56.30131758,143823.7,37.48668271,324.0232918,1507.191451,323.645657
3060500560,70.61239819,57.21973364,134936.3,17.53504234,272.6163444,1068.351378,1347.72557
3060500760,71.6326551,57.14877394,4100.6,14.56640624,106.4979187,408.6073763,334.939613
3060452330,80.38458398,57.96997424,638850.2,43.60010215,120.6826252,1161.891702,1389.239036
3060452480,80.12958393,58.88964035,62119.3,6.086790918,26.92191628,122.0647742,190.4352604
3060542080,66.73078672,56.01063302,3449.8,29.7147493,58.9041231,678.7996846,143.3114535
3060542240,65.81261513,56.11739395,137380.1,12.04290801,77.73659533,408.8109332,244.6776537
3060458330,81.58057069,58.90831982,95016.8,0.446139072,0.653787044,18.58990533,12.61989045
3060458510,81.72164482,58.59434339,514077.7,6.935156884,15.79134785,203.1951885,434.4838632
3060460320,83.87152356,58.75730845,85938.6,20.2051821,127.0609141,1174.666023,1581.213636
